ConceptID,ConceptLabel,Dependencies,TaxonomyID
1,Attention,,FOUND
2,Attention Regulation,1,FOUND
3,Hyperactivity,,FOUND
4,Impulsivity,,FOUND
5,Inattention,1,FOUND
6,Neurodevelopmental Disorder,,FOUND
7,ADHD,2|3|4|5|6,FOUND
8,Neurodiversity,6,FOUND
9,Neurotypical Brain,8,FOUND
10,ADHD Prevalence,7,FOUND
11,History Of ADHD,7,FOUND
12,ADD Vs ADHD Terminology,7|11,FOUND
13,DSM-5 Definition Of ADHD,7,FOUND
14,ADHD Myths,7,FOUND
15,Laziness Myth,14,FOUND
16,Willpower Myth,14,FOUND
17,ADHD As Regulation Difference,2|7,FOUND
18,ADHD And Intelligence,7|14,FOUND
19,Causes Of ADHD,7,FOUND
20,Genetics Of ADHD,19,FOUND
21,Environmental Risk Factors,19,FOUND
22,ADHD Stigma,14,FOUND
23,Media Portrayals Of ADHD,22,FOUND
24,ADHD Misinformation,14|23,FOUND
25,Evidence-Based Information,24,FOUND
26,Brain Development,6,BRAIN
27,Prefrontal Cortex,26,BRAIN
28,Brain Networks,26,BRAIN
29,Default Mode Network,28,BRAIN
30,Executive Function,27,BRAIN
31,Working Memory,30,BRAIN
32,Response Inhibition,30,BRAIN
33,Cognitive Flexibility,30,BRAIN
34,Planning And Prioritizing,30,BRAIN
35,Task Initiation,30,BRAIN
36,Self-Monitoring,30,BRAIN
37,Dopamine,26,BRAIN
38,Norepinephrine,26,BRAIN
39,Reward System,37,BRAIN
40,Interest-Based Nervous System,39,BRAIN
41,Motivation And ADHD,7|39,BRAIN
42,Delay Aversion,41,BRAIN
43,Arousal Regulation,2|26,BRAIN
44,Sleep And The ADHD Brain,7|26,BRAIN
45,ADHD Brain Maturation Lag,7|26,BRAIN
46,Neuroimaging Findings,7|28,BRAIN
47,Heritability Research,20,BRAIN
48,ADHD And Memory,7|31,BRAIN
49,Prospective Memory,31,BRAIN
50,Cognitive Load,31,BRAIN
51,Inattentive Presentation,5|7|13,PRES
52,Hyperactive-Impulsive Type,3|4|7|13,PRES
53,Combined Presentation,51|52,PRES
54,Symptom Criteria,13,PRES
55,Symptom Thresholds,54,PRES
56,Situational Variability,7|54,PRES
57,Hyperfocus,40|41,PRES
58,Time Blindness,7|30,PRES
59,Distractibility,1|5,PRES
60,Mind Wandering,29|59,PRES
61,Internal Restlessness,3,PRES
62,Fidgeting,3,PRES
63,Excessive Talking,52,PRES
64,Interrupting,4,PRES
65,Forgetfulness,31|49,PRES
66,Losing Things,65,PRES
67,Task Switching Difficulty,33,PRES
68,Procrastination,35|42,PRES
69,Decision Paralysis,34|68,PRES
70,Sensory Sensitivity,7,PRES
71,Restlessness In Adults,61,PRES
72,Performance Inconsistency,56,PRES
73,Masking,22|56,PRES
74,Compensation Strategies,73,PRES
75,Boredom Intolerance,41|42,PRES
76,ADHD In Childhood,7|45,LIFE
77,ADHD In Adolescence,76,LIFE
78,ADHD In College Years,77,LIFE
79,ADHD In Adulthood,7|71,LIFE
80,ADHD In Older Adults,79,LIFE
81,Late Diagnosis,79,LIFE
82,ADHD In Girls,73|76,LIFE
83,ADHD In Women,73|79,LIFE
84,Late Diagnosis In Women,81|83,LIFE
85,Gender Diagnosis Gap,82|83,LIFE
